enum,value
AccountStatus,Pending
AccountStatus,Active
AccountStatus,Locked
AccountStatus,Disabled
AccountStatus,Archived
AuthProvider,Discord
RoleScopeType,Global
RoleScopeType,Unit
RoleScopeType,StaffSection
RecoveryStatus,Open
RecoveryStatus,Approved
RecoveryStatus,Denied
RecoveryStatus,Completed
RecoveryStatus,Cancelled
BootstrapStatus,Open
BootstrapStatus,Completed
BootstrapStatus,Expired
BootstrapStatus,Revoked
SessionRevocationScope,Account
SessionRevocationScope,Global
CatalogStatus,Draft
CatalogStatus,Active
CatalogStatus,Inactive
CatalogStatus,Archived
PersonnelStatus,Applicant
PersonnelStatus,Recruit
PersonnelStatus,Probationary
PersonnelStatus,Active
PersonnelStatus,Reserve
PersonnelStatus,LeaveOfAbsence
PersonnelStatus,ExtendedLeaveOfAbsence
PersonnelStatus,Inactive
PersonnelStatus,AWOL
PersonnelStatus,Separated
PersonnelStatus,Discharged
PersonnelStatus,DoNotRehire
PersonnelStatus,Honorable Discharge
PersonnelStatus,Other Than Honorable Discharge
PersonnelStatus,Dishonorable Discharge
ApplicationStatus,Submitted
ApplicationStatus,RecruiterScreening
ApplicationStatus,RecruiterRecommended
ApplicationStatus,TargetUnitReview
ApplicationStatus,Accepted
ApplicationStatus,Denied
ApplicationStatus,Withdrawn
ApplicationStatus,Closed
ApplicationStatus,Converted
ApplicationReviewStage,RecruiterScreening
ApplicationReviewStage,TargetUnitReview
ApplicationReviewStage,FinalDecision
AssignmentType,Primary
AssignmentType,Secondary
AssignmentType,Temporary
AssignmentType,Staff
EventStatus,Draft
EventStatus,Scheduled
EventStatus,RosterFinalized
EventStatus,Completed
EventStatus,Cancelled
EventStatus,Archived
EventRosterSource,Template
EventRosterSource,UnitRoster
EventRosterSource,ManualAdjustment
AttendanceStatus,Expected
AttendanceStatus,Present
AttendanceStatus,Partial
AttendanceStatus,Late
AttendanceStatus,Excused
AttendanceStatus,Absent
AttendanceStatus,NoShow
AttendanceStatus,LeaveOfAbsence
AttendanceStatus,NotRequired
AttendanceStatus,PendingReview
LoaStatus,Submitted
LoaStatus,UnderReview
LoaStatus,Approved
LoaStatus,Denied
LoaStatus,Cancelled
LoaStatus,Withdrawn
LoaStatus,Active
LoaStatus,Completed
LoaStatus,Returned
LoaApprovalLevel,UnitStaff
LoaApprovalLevel,Escalated
QualificationStatus,Recommended
QualificationStatus,Pending
QualificationStatus,Active
QualificationStatus,Expired
QualificationStatus,Suspended
QualificationStatus,Revoked
QualificationStatus,Waived
RequestStatus,Draft
RequestStatus,Submitted
RequestStatus,UnderReview
RequestStatus,Approved
RequestStatus,Denied
RequestStatus,Cancelled
RequestStatus,Completed
RequestStatus,Voided
VisibilityLevel,Applicant
VisibilityLevel,Member
VisibilityLevel,Staff
VisibilityLevel,Command
VisibilityLevel,System
VisibilityLevel,Restricted
SupportTicketStatus,Open
SupportTicketStatus,PendingStaff
SupportTicketStatus,PendingMember
SupportTicketStatus,Resolved
SupportTicketStatus,Closed
SupportTicketStatus,Voided
NotificationStatus,Unread
NotificationStatus,Read
NotificationStatus,Archived
NotificationDeliveryChannel,InApp
AuditSeverity,Info
AuditSeverity,Notice
AuditSeverity,Warning
AuditSeverity,Critical
IntegrationLogStatus,Pending
IntegrationLogStatus,Success
IntegrationLogStatus,Failure
IntegrationLogStatus,Voided