training_course_key,name
bct,BASIC COMBAT TRAINING
ait_68w,COMBAT MEDIC ADVANCED INDIVIDUAL TRAINING
ait_11b,INFANTRY ADVANCED INDIVIDUAL TRAINING
osut_12b,COMBAT ENGINEER ADVANCED INDIVIDUAL TRAINING
ait_74d,CHEMICAL BIOLOGICAL RADIOLOGICAL NUCLEAR SPC AIT
mwdhc,MILITARY WORKING DOG HANDLER COURSE
ait_11c,MORTARMAN ADVANCED INDIVIDUAL TRAINING
rasp,RANGER ASSESSMENT AND SELECTION
socm,SPECIAL OPERATIONS MEDIC COURSE
ait_25c,RADIO OPERATOR MAINTAINER AIT
ait_25u,SIGNAL SUPPORT SYSTEMS SPECIALIST AIT
jfc,JOINT FIREPOWER COURSE
jtacqc,JOINT TACTICAL AIR CONTROLLER QUALIFICATION COURSE
sotacc,SPECIAL OPERATIONS TERMINAL ATTACK CONTROLLER COURSE
mffpc,MILITARY FREE FALL PARACHUTIST COURSE
mffjmc,MILITARY FREE FALL JUMP MASTER COURSE
aac,AIR ASSAULT COURSE
cdqc,COMBAT DIVER QUALIFICATION COURSE
mar_1,COMBAT SWIMMER COURSE
mar_2,MARITIME INFILTRATION COURSE
rslc,RECONNAISSANCE AND SURVEILLANCE LEADERS COURSE
usasc,US ARMY SNIPER COURSE
sapper,SAPPER LEADER COURSE
blc,BASIC LEADERSHIP COURSE
alc,ADVANCED LEADERSHIP COURSE
slc,SENIORS LEADERSHIP COURSE
bolc,BASIC OFFICERS LEADERSHIP COURSE
ccc,CAPTAIN CAREER COURSE
bwc,BASIC WEAPONS COURSE
awc,ADVANCED WEAPONS COURSE